Refinamentos:,Mês/Ano fechamento:,2025/06
PK Dataset Chamados,Analista Responsável,Apontamentos - Tempo total em horas,Apontamentos - Tempo total em minutos,Categoria,Categoria (Ord.),Categoria 1,Categoria 2,Categoria 3,Centro de Custo do solicitante - código,Centro de Custo do solicitante - descrição,Centro de Custo do solicitante - qtd. Integrantes,Data criação,Data fechamento,Data/Hora criação,Data/Hora fechamento,Faixa de idade do chamado,Flag Atendeu SLA,Flag Em Aberto,Flag Indisponibilidade,Flag Retrabalho,Flag solicitante igual atendente,Grupo Solucionador,Hora abertura,Hora fechamento,Local usuário,Mês/Ano abertura,Mês/Ano fechamento,Núm. Requisição,Pesquisa de satisfação - comentário,Pesquisa de satisfação - nota,Pesquisa de satisfação - pergunta,Pesquisa de satisfação - resposta,PK Dataset Chamados,Prioridade,Semana abertura,Semana Ano abertura,Semana Ano fechamento,Semana fechamento,SLA Descrição,SLA Tempo hora,SLA Tipo,Solicitante (Usuário abertura),Status (código),Status (descrição),Sub-tipo da categoria,Tempo Aguard. Aprov. (Horas),Tempo Aguard. Atend. (Horas),Tempo Aguard. Fornec. (Horas),Tempo Aguard. Usuário (Horas),Tempo Em Atend. (Horas),Tempo Novo (Horas),Tempo para SLA (Horas),Tempo Pend. Cham. (Horas),Tempo Resolvido (Horas),Tempo Total menos Resolvido (Horas),Título requisição,Urgência,
167343,none,0.000000,0.000000,INCIDENTE,1-INCIDENTE,INFRA,REDE,Erro ou Defeito,020401,"ENGENHARIA, PLANEJ. E CONTROLE ESTATÍSTICO",68,2025-06-02T13:07:56.000Z,2025-06-13T13:36:31.000Z,02/06/2025 10:07,13/06/2025 10:36,1-15 dias,NAO ATENDEU,FECHADO,NAO SE APLICA,NAO SE APLICA,NÃO,EBSDBA,10,10,PORTO VELHO,2025/06,2025/06,167343,,,,,167343,Normal,2 - SEG,2025-06-02T03:00:00.000Z,2025-06-09T03:00:00.000Z,6 - SEX,Horas Úteis,16.000000,1.000000,lbiazetti,8,Encerrado pelo sistema,Formulario Incidente - Padrão,,,,,51.590000,33.560000,81.670000,,,81.670000,Conexão gateway SAVE-Data Lake  indisponível,Baixa,
167344,mariap,0.000000,0.000000,SERVICO,2-SERVICO,INFRA,REDE,Solicitação de Serviço,020403,MANUTENCAO DE UNIDADES GERADORAS,191,2025-06-02T13:14:18.000Z,2025-06-02T14:48:39.000Z,02/06/2025 10:14,02/06/2025 11:48,1-15 dias,ATENDEU O SLA,FECHADO,NAO SE APLICA,NAO SE APLICA,NÃO,N1 ,10,11,LOCAL NAO INFORMADO,2025/06,2025/06,167344,"Maria,. Agradeço pelo suporte prestado. O atendimento foi ágil, eficaz e conduzido com total clareza. Reconheço e valorizo o empenho e a atenção dedicados ao meu caso. Muito obrigado!",4,Como voce avalia o atendimento prestado?,Otimo,167344,Baixa,2 - SEG,2025-06-02T03:00:00.000Z,2025-06-02T03:00:00.000Z,2 - SEG,Horas Úteis,80.000000,1.000000,adrianosacramento,8,Encerrado pelo sistema,Formulario Solicitação - Padrão,,,,1.660000,0.000000,0.040000,-0.090000,,27.060000,1.570000,Instalar Sigo,Baixa,
167345,none,,,INCIDENTE,1-INCIDENTE,INFRA,BANCO DE DADOS ORACLE,Erro ou Defeito,N/D,NÃO DEFINIDO,403,2025-06-02T13:24:09.000Z,2025-06-02T18:11:41.000Z,02/06/2025 10:24,02/06/2025 15:11,1-15 dias,ATENDEU O SLA,FECHADO,NAO SE APLICA,NAO SE APLICA,NÃO,EBSDBA,10,15,LOCAL NAO INFORMADO,2025/06,2025/06,167345,,,,,167345,Baixa,2 - SEG,2025-06-02T03:00:00.000Z,2025-06-02T03:00:00.000Z,2 - SEG,Horas Úteis,4.000000,1.000000,noc_ebsit,8,Encerrado pelo sistema,Formulario Incidente - Padrão,,,,,5.170000,0.280000,3.110000,,,3.110000,SAEN--DBO-PRD-PCWAC,Baixa,
167346,uendeln,0.250000,15.000000,SERVICO,2-SERVICO,INFRA,RÁDIO (PTT),Solicitação de Serviço,020403,MANUTENCAO DE UNIDADES GERADORAS,191,2025-06-02T13:25:57.000Z,2025-06-02T19:49:14.000Z,02/06/2025 10:25,02/06/2025 16:49,1-15 dias,ATENDEU O SLA,FECHADO,NAO SE APLICA,NAO SE APLICA,NÃO,FIELD,10,16,PORTO VELHO,2025/06,2025/06,167346,MELHORIA CONTINUA SEMPRE,4,Como voce avalia o atendimento prestado?,Otimo,167346,Normal,2 - SEG,2025-06-02T03:00:00.000Z,2025-06-02T03:00:00.000Z,2 - SEG,Horas Úteis,80.000000,1.000000,franciscosilva,9,Encerrado pelo usuario,Formulario Solicitação - Infra - Solicitação Padrão,,,,,0.010000,7.940000,6.400000,,0.360000,6.400000,ID dos Radios,Baixa,
167347,none,,,INCIDENTE,1-INCIDENTE,INFRA,BANCO DE DADOS ORACLE,Erro ou Defeito,N/D,NÃO DEFINIDO,403,2025-06-02T13:27:26.000Z,2025-06-02T21:36:23.000Z,02/06/2025 10:27,02/06/2025 18:36,1-15 dias,NAO ATENDEU,FECHADO,NAO SE APLICA,NAO SE APLICA,NÃO,EBSDBA,10,18,LOCAL NAO INFORMADO,2025/06,2025/06,167347,,,,,167347,Baixa,2 - SEG,2025-06-02T03:00:00.000Z,2025-06-02T03:00:00.000Z,2 - SEG,Horas Úteis,4.000000,1.000000,noc_ebsit,8,Encerrado pelo sistema,Formulario Incidente - Padrão,,,,,8.580000,1.300000,7.550000,,,7.550000,SAEN--DBO-PRD-PCWAC,Baixa,
167350,none,,,INCIDENTE,1-INCIDENTE,INFRA,BANCO DE DADOS ORACLE,Erro ou Defeito,N/D,NÃO DEFINIDO,403,2025-06-02T13:52:25.000Z,2025-06-02T15:36:25.000Z,02/06/2025 10:52,02/06/2025 12:36,1-15 dias,ATENDEU O SLA,FECHADO,NAO SE APLICA,NAO SE APLICA,NÃO,EBSDBA,10,12,LOCAL NAO INFORMADO,2025/06,2025/06,167350,,,,,167350,Baixa,2 - SEG,2025-06-02T03:00:00.000Z,2025-06-02T03:00:00.000Z,2 - SEG,Horas Úteis,4.000000,1.000000,noc_ebsit,8,Encerrado pelo sistema,Formulario Incidente - Padrão,,,,,2.520000,0.000000,1.720000,,,1.720000,SAEN--APS-PRD-SAE-PVH-AP-034,Baixa,
167351,franklinc,0.250000,15.000000,SERVICO,2-SERVICO,INFRA,NOVO USUÁRIO,Eletrobrás,020401,"ENGENHARIA, PLANEJ. E CONTROLE ESTATÍSTICO",68,2025-06-02T13:56:20.000Z,2025-06-02T15:09:08.000Z,02/06/2025 10:56,02/06/2025 12:09,1-15 dias,ATENDEU O SLA,FECHADO,NAO SE APLICA,NAO SE APLICA,NÃO,INFRA,10,12,PORTO VELHO,2025/06,2025/06,167351,,,,,167351,Baixa,2 - SEG,2025-06-02T03:00:00.000Z,2025-06-02T03:00:00.000Z,2 - SEG,Horas Úteis,80.000000,1.000000,pedrocarvalho,8,Encerrado pelo sistema,Formulario Solicitação - Padrão,,,,,,1.340000,1.210000,,27.050000,1.210000,Acesso rede Estagiária,Baixa,
167352,guilhermepa,1.000000,60.000000,INCIDENTE,1-INCIDENTE,INFRA,DESKTOP,Erro ou Defeito,040801,TECNOLOGIA DE INFORMACAO,37,2025-06-02T14:00:00.000Z,2025-06-04T12:41:35.000Z,02/06/2025 11:00,04/06/2025 09:41,1-15 dias,NAO ATENDEU,FECHADO,NAO SE APLICA,NAO SE APLICA,NÃO,FIELD,11,09,LOCAL NAO INFORMADO,2025/06,2025/06,167352,,,,,167352,Baixa,2 - SEG,2025-06-02T03:00:00.000Z,2025-06-02T03:00:00.000Z,4 - QUA,Sem SLA,0.000000,0.000000,jorgepereira,8,Encerrado pelo sistema,Formulario Incidente - Padrão,,,,,,,0.000000,,,, Task: Verificação Sala de Treinamento Operação,Baixa,
167354,mateush,1.000000,60.000000,SERVICO,2-SERVICO,INFRA,REDE,Erro ou Defeito,020601,ADMINISTRATIVO,59,2025-06-02T14:10:59.000Z,2025-06-04T12:50:48.000Z,02/06/2025 11:10,04/06/2025 09:50,1-15 dias,NAO ATENDEU,FECHADO,NAO SE APLICA,NAO SE APLICA,NÃO,FIELD,11,09,LOCAL NAO INFORMADO,2025/06,2025/06,167354,,,,,167354,Baixa,2 - SEG,2025-06-02T03:00:00.000Z,2025-06-02T03:00:00.000Z,4 - QUA,Horas Úteis,16.000000,1.000000,alanacarneiro,8,Encerrado pelo sistema,Formulario Solicitação - Padrão,,,,,0.000000,18.590000,16.680000,,27.040000,16.680000,Nobreak R2,Baixa,
167355,franklinc,0.250000,15.000000,SERVICO,2-SERVICO,INFRA,REDE,Solicitação de Serviço,020405,"MANUTENCAO DE SISTEMA DE TRANSMISSAO, AUTOMACAO E AUXILIARES",105,2025-06-02T14:29:31.000Z,2025-06-02T16:44:50.000Z,02/06/2025 11:29,02/06/2025 13:44,1-15 dias,ATENDEU O SLA,FECHADO,NAO SE APLICA,NAO SE APLICA,NÃO,INFRA,11,13,LOCAL NAO INFORMADO,2025/06,2025/06,167355,,,,,167355,Baixa,2 - SEG,2025-06-02T03:00:00.000Z,2025-06-02T03:00:00.000Z,2 - SEG,Horas Úteis,80.000000,1.000000,alessandrosouza,8,Encerrado pelo sistema,Formulario Solicitação - Padrão,,,,,0.000000,2.520000,2.260000,,27.040000,2.260000,Adicionar o colaborador Pedro Miguel ao grupo ELISPE_TA,Baixa,
167356,silass,0.000000,0.000000,SERVICO,2-SERVICO,INFRA,E-MAIL,Outros,020405,"MANUTENCAO DE SISTEMA DE TRANSMISSAO, AUTOMACAO E AUXILIARES",105,2025-06-02T14:35:16.000Z,2025-06-05T12:08:08.000Z,02/06/2025 11:35,05/06/2025 09:08,1-15 dias,ATENDEU O SLA,FECHADO,NAO SE APLICA,NAO SE APLICA,NÃO,INFRA,11,09,LOCAL NAO INFORMADO,2025/06,2025/06,167356,,,,,167356,Normal,2 - SEG,2025-06-02T03:00:00.000Z,2025-06-02T03:00:00.000Z,5 - QUI,Horas Úteis,80.000000,1.000000,daliane,8,Encerrado pelo sistema,Formulario Solicitação - Padrão,,,,9.500000,0.150000,16.460000,15.080000,,27.080000,24.580000,add no grupo CIPA,Baixa,
167357,franklinc,0.250000,15.000000,SERVICO,2-SERVICO,INFRA,SERVIDOR DE ARQUIVOS,Segurança - Gestão de Acesso,020405,"MANUTENCAO DE SISTEMA DE TRANSMISSAO, AUTOMACAO E AUXILIARES",105,2025-06-02T14:36:25.000Z,2025-06-03T18:42:41.000Z,02/06/2025 11:36,03/06/2025 15:42,1-15 dias,ATENDEU O SLA,FECHADO,NAO SE APLICA,NAO SE APLICA,NÃO,INFRA,11,15,LOCAL NAO INFORMADO,2025/06,2025/06,167357,,,,,167357,Normal,2 - SEG,2025-06-02T03:00:00.000Z,2025-06-02T03:00:00.000Z,3 - TER,Horas Úteis,80.000000,1.000000,daliane,8,Encerrado pelo sistema,Gestão de acesso,,,,,0.010000,14.510000,13.120000,,27.000000,13.120000,liberar acesso,Baixa,
167358,ivancardoso,,,SERVICO,2-SERVICO,SISTEMAS,EBS-Entrada de Notas (RI),Dúvida,040301,CONTROLADORIA,48,2025-06-02T14:37:46.000Z,2025-06-02T14:56:17.000Z,02/06/2025 11:37,02/06/2025 11:56,1-15 dias,ATENDEU O SLA,FECHADO,NAO SE APLICA,NAO SE APLICA,NÃO,ERPN,11,11,LOCAL NAO INFORMADO,2025/06,2025/06,167358,,4,Como voce avalia o atendimento prestado?,Otimo,167358,Baixa,2 - SEG,2025-06-02T03:00:00.000Z,2025-06-02T03:00:00.000Z,2 - SEG,Horas Úteis,24.000000,1.000000,ricardomoliveira,8,Encerrado pelo sistema,Formulario Solicitação - Padrão,,,,,0.000000,0.350000,0.310000,,27.020000,0.310000,RI - TIPO DE NOTA - NFAT sem imposto,Baixa,
167359,ivancardoso,,,SERVICO,2-SERVICO,SISTEMAS,EBS-Contas a Pagar (AP),Solicitação de Serviço,040301,CONTROLADORIA,48,2025-06-02T14:44:22.000Z,2025-06-02T20:52:38.000Z,02/06/2025 11:44,02/06/2025 17:52,1-15 dias,ATENDEU O SLA,FECHADO,NAO SE APLICA,NAO SE APLICA,NÃO,ERPN,11,17,LOCAL NAO INFORMADO,2025/06,2025/06,167359,,4,Como voce avalia o atendimento prestado?,Otimo,167359,Baixa,2 - SEG,2025-06-02T03:00:00.000Z,2025-06-02T03:00:00.000Z,2 - SEG,Horas Úteis,40.000000,1.000000,ricardomoliveira,8,Encerrado pelo sistema,Formulario Solicitação - Padrão,,,,,0.000000,7.310000,6.150000,,27.080000,6.150000,AP - ISS não localizado,Baixa,
167360,silass,0.000000,0.000000,SERVICO,2-SERVICO,INFRA,SOFTWARES,Instalação / Remoção,020401,"ENGENHARIA, PLANEJ. E CONTROLE ESTATÍSTICO",68,2025-06-02T14:58:07.000Z,2025-06-03T20:23:48.000Z,02/06/2025 11:58,03/06/2025 17:23,1-15 dias,ATENDEU O SLA,FECHADO,NAO SE APLICA,NAO SE APLICA,NÃO,INFRA,11,17,PORTO VELHO,2025/06,2025/06,167360,,,,,167360,Baixa,2 - SEG,2025-06-02T03:00:00.000Z,2025-06-02T03:00:00.000Z,3 - TER,Horas Úteis,80.000000,1.000000,pedrocarvalho,8,Encerrado pelo sistema,Formulario Solicitação - Padrão,,,,,0.000000,15.330000,14.530000,,27.070000,14.530000,MS Project,Baixa,
167361,mariap,0.000000,0.000000,SERVICO,2-SERVICO,INFRA,ACTIVE DIRECTORY (AD),Reset ou Desbloqueio de Senha,020404,MANUT. CIVIL E SEGURANCA DE BARRAGEM,16,2025-06-02T15:01:28.000Z,2025-06-02T19:02:13.000Z,02/06/2025 12:01,02/06/2025 16:02,1-15 dias,ATENDEU O SLA,FECHADO,NAO SE APLICA,NAO SE APLICA,NÃO,N1,12,16,LOCAL NAO INFORMADO,2025/06,2025/06,167361,,,,,167361,Baixa,2 - SEG,2025-06-02T03:00:00.000Z,2025-06-02T03:00:00.000Z,2 - SEG,Horas Úteis,80.000000,1.000000,elizeuotto,9,Encerrado pelo usuario,Formulario Solicitação - Padrão,,,,,4.070000,1.020000,4.020000,,0.790000,4.020000,Reset de Senha,Baixa,
167362,guilhermepa,1.000000,60.000000,SERVICO,2-SERVICO,INFRA,NOVO USUÁRIO,Terceiro,020601,ADMINISTRATIVO,59,2025-06-02T15:14:40.000Z,2025-06-04T14:40:40.000Z,02/06/2025 12:14,04/06/2025 11:40,1-15 dias,ATENDEU O SLA,FECHADO,NAO SE APLICA,NAO SE APLICA,NÃO,FIELD,12,11,LOCAL NAO INFORMADO,2025/06,2025/06,167362,,,,,167362,Baixa,2 - SEG,2025-06-02T03:00:00.000Z,2025-06-02T03:00:00.000Z,4 - QUA,Horas Úteis,80.000000,1.000000,adrianabotelho,8,Encerrado pelo sistema,Formulario Solicitação - Padrão,,9.360000,,5.700000,0.010000,3.800000,11.830000,,27.040000,17.530000,Problema no acesso ,Baixa,
167363,ivancardoso,,,SERVICO,2-SERVICO,SISTEMAS,EBS-Entrada de Notas (RI),Dúvida,040301,CONTROLADORIA,48,2025-06-02T15:21:55.000Z,2025-06-02T20:55:38.000Z,02/06/2025 12:21,02/06/2025 17:55,1-15 dias,ATENDEU O SLA,FECHADO,NAO SE APLICA,NAO SE APLICA,NÃO,ERPN,12,17,LOCAL NAO INFORMADO,2025/06,2025/06,167363,,4,Como voce avalia o atendimento prestado?,Otimo,167363,Baixa,2 - SEG,2025-06-02T03:00:00.000Z,2025-06-02T03:00:00.000Z,2 - SEG,Horas Úteis,24.000000,1.000000,ricardomoliveira,8,Encerrado pelo sistema,Formulario Solicitação - Padrão,,,,,0.020000,6.720000,5.570000,,27.030000,5.570000,Estorno RI 152405,Baixa,
167364,uendeln,0.080000,5.000000,SERVICO,2-SERVICO,INFRA,REDE,Erro ou Defeito,020601,ADMINISTRATIVO,59,2025-06-02T15:24:44.000Z,2025-06-02T20:41:31.000Z,02/06/2025 12:24,02/06/2025 17:41,1-15 dias,ATENDEU O SLA,FECHADO,NAO SE APLICA,NAO SE APLICA,NÃO,FIELD,12,17,LOCAL NAO INFORMADO,2025/06,2025/06,167364,,,,,167364,Baixa,2 - SEG,2025-06-02T03:00:00.000Z,2025-06-02T03:00:00.000Z,2 - SEG,Horas Úteis,16.000000,1.000000,alanacarneiro,8,Encerrado pelo sistema,Formulario Solicitação - Padrão,,,,,0.020000,6.150000,5.290000,,27.010000,5.290000,Catracas R1,Baixa,
167365,davibdomingos,,,INCIDENTE,1-INCIDENTE,SISTEMAS,SoftExpert,Incidente,020402,OPERACAO,177,2025-06-02T16:26:36.000Z,2025-06-03T20:01:47.000Z,02/06/2025 13:26,03/06/2025 17:01,1-15 dias,ATENDEU O SLA,FECHADO,NAO SE APLICA,NAO SE APLICA,NÃO,SISTEMAS-SAE-SPO,13,17,PORTO VELHO,2025/06,2025/06,167365,,,,,167365,Baixa,2 - SEG,2025-06-02T03:00:00.000Z,2025-06-02T03:00:00.000Z,3 - TER,Horas Úteis,40.000000,1.000000,joseeudes,8,Encerrado pelo sistema,Formulario Incidente - Sistemas - Erro Sistemas,,,,,12.230000,0.700000,12.680000,,27.020000,12.680000,Falha na procura dos procedimentos,Baixa,
167366,guilhermepa,0.250000,15.000000,SERVICO,2-SERVICO,INFRA,SALA TECNICA TI,Check List,040801,TECNOLOGIA DE INFORMACAO,37,2025-06-02T16:57:41.000Z,2025-06-05T20:32:20.000Z,02/06/2025 13:57,05/06/2025 17:32,1-15 dias,NAO ATENDEU,FECHADO,NAO SE APLICA,NAO SE APLICA,NÃO,FIELD,13,17,LOCAL NAO INFORMADO,2025/06,2025/06,167366,,,,,167366,Normal,2 - SEG,2025-06-02T03:00:00.000Z,2025-06-02T03:00:00.000Z,5 - QUI,Horas Úteis,24.000000,1.000000,jorgepereira,8,Encerrado pelo sistema,Formulario Solicitação - Padrão,,,,,10.310000,22.440000,30.700000,,27.020000,30.700000, Task: Check list Torre Rádio UHE,Normal,
167367,mateush,0.250000,15.000000,SERVICO,2-SERVICO,INFRA,SALA TECNICA TI,Check List,040801,TECNOLOGIA DE INFORMACAO,37,2025-06-02T16:58:00.000Z,2025-06-02T18:48:10.000Z,02/06/2025 13:58,02/06/2025 15:48,1-15 dias,ATENDEU O SLA,FECHADO,NAO SE APLICA,NAO SE APLICA,NÃO,FIELD,13,15,LOCAL NAO INFORMADO,2025/06,2025/06,167367,,,,,167367,Normal,2 - SEG,2025-06-02T03:00:00.000Z,2025-06-02T03:00:00.000Z,2 - SEG,Horas Úteis,24.000000,1.000000,jorgepereira,8,Encerrado pelo sistema,Formulario Solicitação - Padrão,,,,,0.000000,2.460000,1.840000,,27.070000,1.840000, Task: Check List Sala Cofre TI,Normal,
167368,silass,,,INCIDENTE,1-INCIDENTE,INFRA,ACTIVE DIRECTORY (AD),Criação / Alteração / Desativação de Usuário,040801,TECNOLOGIA DE INFORMACAO,37,2025-06-02T16:58:57.000Z,2025-06-03T17:00:33.000Z,02/06/2025 13:58,03/06/2025 14:00,1-15 dias,ATENDEU O SLA,FECHADO,NAO SE APLICA,NAO SE APLICA,NÃO,INFRA,13,14,LOCAL NAO INFORMADO,2025/06,2025/06,167368,,,,,167368,Baixa,2 - SEG,2025-06-02T03:00:00.000Z,2025-06-02T03:00:00.000Z,3 - TER,Horas Úteis,80.000000,1.000000,davibdomingos,8,Encerrado pelo sistema,Formulario Incidente - Padrão,,,,,0.000000,9.810000,9.030000,,27.040000,9.030000,Grupo Projuris ,Baixa,
167369,gabrieljaraujo,0.000000,0.000000,SERVICO,2-SERVICO,SEGURANÇA DA INFORMAÇÃO,FIREWALL NGF,Solicitação de Serviço,020405,"MANUTENCAO DE SISTEMA DE TRANSMISSAO, AUTOMACAO E AUXILIARES",105,2025-06-02T17:03:00.000Z,2025-06-03T14:15:31.000Z,02/06/2025 14:03,03/06/2025 11:15,1-15 dias,ATENDEU O SLA,FECHADO,NAO SE APLICA,NAO SE APLICA,NÃO,SEGURANÇA DA INFORMAÇÃO,14,11,PORTO VELHO,2025/06,2025/06,167369,,,,,167369,Normal,2 - SEG,2025-06-02T03:00:00.000Z,2025-06-02T03:00:00.000Z,3 - TER,Horas Úteis,40.000000,1.000000,mozairlopes,9,Encerrado pelo usuario,Formulario Solicitação - Padrão,,,,,0.010000,6.750000,6.210000,,0.030000,6.210000,Acesso Jump Server ,Baixa,
167370,mateush,1.000000,60.000000,SERVICO,2-SERVICO,INFRA,MÁQUINAS E PERIFÉRICOS,Solicitação de Equipamento,020402,OPERACAO,177,2025-06-02T17:19:34.000Z,2025-06-03T12:22:03.000Z,02/06/2025 14:19,03/06/2025 09:22,1-15 dias,ATENDEU O SLA,FECHADO,NAO SE APLICA,NAO SE APLICA,NÃO,FIELD,14,09,PORTO VELHO,2025/06,2025/06,167370,,,,,167370,Baixa,2 - SEG,2025-06-02T03:00:00.000Z,2025-06-02T03:00:00.000Z,3 - TER,Horas Úteis,80.000000,1.000000,joseeudes,8,Encerrado pelo sistema,Formulario Solicitação - Padrão,,,,,0.000000,4.310000,4.050000,,27.000000,4.050000,Transferência de Equipamentos ,Baixa,
167371,rodrigot,,,INCIDENTE,1-INCIDENTE,SISTEMAS,Mastersaf - Obrigações Fiscais,Erro de sistema,040301,CONTROLADORIA,48,2025-06-02T17:37:57.000Z,2025-06-06T19:18:50.000Z,02/06/2025 14:37,06/06/2025 16:18,1-15 dias,NAO ATENDEU,FECHADO,NAO SE APLICA,NAO SE APLICA,NÃO,ERPN,14,16,LOCAL NAO INFORMADO,2025/06,2025/06,167371,,,,,167371,Alta,2 - SEG,2025-06-02T03:00:00.000Z,2025-06-02T03:00:00.000Z,6 - SEX,Horas Úteis,16.000000,1.000000,gustavosouza,8,Encerrado pelo sistema,Formulario Incidente - Sistemas - Erro Sistemas,,,,,0.000000,39.470000,37.810000,,27.000000,37.810000,ODI parado,Baixa,
167372,mariap,0.000000,0.000000,SERVICO,2-SERVICO,INFRA,PROJETOS / DEMANDA,Solicitação de Serviço,020403,MANUTENCAO DE UNIDADES GERADORAS,191,2025-06-02T18:05:23.000Z,2025-06-02T19:57:10.000Z,02/06/2025 15:05,02/06/2025 16:57,1-15 dias,NAO ATENDEU,FECHADO,NAO SE APLICA,NAO SE APLICA,NÃO,N1 ,15,16,PORTO VELHO,2025/06,2025/06,167372,Analista solícito!,4,Como voce avalia o atendimento prestado?,Otimo,167372,Baixa,2 - SEG,2025-06-02T03:00:00.000Z,2025-06-02T03:00:00.000Z,2 - SEG,Sem SLA,0.000000,0.000000,joselima,9,Encerrado pelo usuario,Formulario Solicitação - Padrão,,,,,,,0.000000,,,,DWG,Baixa,
167373,silass,,,SERVICO,2-SERVICO,INFRA,SERVIDORES,Solicitação de Serviço,040801,TECNOLOGIA DE INFORMACAO,37,2025-06-02T18:05:39.000Z,2025-06-05T12:31:58.000Z,02/06/2025 15:05,05/06/2025 09:31,1-15 dias,ATENDEU O SLA,FECHADO,NAO SE APLICA,NAO SE APLICA,NÃO,INFRA,15,09,PORTO VELHO,2025/06,2025/06,167373,,,,,167373,Baixa,2 - SEG,2025-06-02T03:00:00.000Z,2025-06-02T03:00:00.000Z,5 - QUI,Horas Úteis,80.000000,1.000000,alexandresilva,8,Encerrado pelo sistema,Formulario Solicitação - Padrão,,,,,20.500000,1.040000,21.550000,,27.060000,21.550000,Liberar acesso ao ambiente de projetos.,Baixa,
167374,ivancardoso,,,SERVICO,2-SERVICO,SISTEMAS,EBS-Almoxarifado (INV),Solicitação de Serviço,040502,ALMOXARIFADO,28,2025-06-02T18:07:01.000Z,2025-06-06T18:51:48.000Z,02/06/2025 15:07,06/06/2025 15:51,1-15 dias,ATENDEU O SLA,FECHADO,NAO SE APLICA,NAO SE APLICA,NÃO,ERPN,15,15,LOCAL NAO INFORMADO,2025/06,2025/06,167374,,,,,167374,Baixa,2 - SEG,2025-06-02T03:00:00.000Z,2025-06-02T03:00:00.000Z,6 - SEX,Horas Úteis,40.000000,1.000000,alissonsantos,8,Encerrado pelo sistema,Formulario Solicitação - Padrão,,,,,34.220000,2.820000,36.960000,,27.040000,36.960000,Fechamento do INV Maio 2025,Baixa,
167375,mariap,0.000000,0.000000,SERVICO,2-SERVICO,INFRA,SOFTWARES,Instalação / Remoção,020405,"MANUTENCAO DE SISTEMA DE TRANSMISSAO, AUTOMACAO E AUXILIARES",105,2025-06-02T18:31:50.000Z,2025-06-03T15:26:28.000Z,02/06/2025 15:31,03/06/2025 12:26,1-15 dias,ATENDEU O SLA,FECHADO,NAO SE APLICA,NAO SE APLICA,NÃO,N1,15,12,LOCAL NAO INFORMADO,2025/06,2025/06,167375,,,,,167375,Baixa,2 - SEG,2025-06-02T03:00:00.000Z,2025-06-02T03:00:00.000Z,3 - TER,Horas Úteis,80.000000,1.000000,andresilva,9,Encerrado pelo usuario,Formulario Solicitação - Padrão,,5.400000,,,0.000000,0.550000,6.000000,,1.110000,6.000000,ANALYZER  ERRO AO CONECTAR COM SERVIDOR ,Baixa,
167376,joaoni,0.500000,30.000000,SERVICO,2-SERVICO,INFRA,MÁQUINAS E PERIFÉRICOS,Erro ou Defeito,020402,OPERACAO,177,2025-06-02T18:33:37.000Z,2025-06-02T19:37:56.000Z,02/06/2025 15:33,02/06/2025 16:37,1-15 dias,ATENDEU O SLA,FECHADO,NAO SE APLICA,NAO SE APLICA,NÃO,FIELD,15,16,LOCAL NAO INFORMADO,2025/06,2025/06,167376,,,,,167376,Baixa,2 - SEG,2025-06-02T03:00:00.000Z,2025-06-02T03:00:00.000Z,2 - SEG,Horas Úteis,16.000000,1.000000,lucascosta,8,Encerrado pelo sistema,Formulario Solicitação - Padrão,,,,,0.000000,1.260000,1.090000,,27.070000,1.090000,Gerar PDF,Baixa,
167378,marceloa,,,INCIDENTE,1-INCIDENTE,INFRA,BANCO DE DADOS ORACLE,Indisponibilidade,N/D,NÃO DEFINIDO,403,2025-06-02T18:41:16.000Z,2025-06-02T21:36:23.000Z,02/06/2025 15:41,02/06/2025 18:36,1-15 dias,ATENDEU O SLA,FECHADO,NAO SE APLICA,NAO SE APLICA,NÃO,EBSDBA,15,18,LOCAL NAO INFORMADO,2025/06,2025/06,167378,,,,,167378,Alta,2 - SEG,2025-06-02T03:00:00.000Z,2025-06-02T03:00:00.000Z,2 - SEG,Horas Corridas,3.000000,2.000000,rodrigot,8,Encerrado pelo sistema,Formulario Incidente - Padrão,0.000000,0.000000,0.000000,0.000000,0.230000,0.050000,0.280000,0.000000,0.000000,0.280000,INTERDADOS TRAVADO - INTEGRAÇÃO ORACLE X MASTERSAF,Baixa,
167379,silass,0.020000,1.000000,SERVICO,2-SERVICO,INFRA,NOVO USUÁRIO,Eletrobrás,020401,"ENGENHARIA, PLANEJ. E CONTROLE ESTATÍSTICO",68,2025-06-02T19:05:08.000Z,2025-06-03T12:01:00.000Z,02/06/2025 16:05,03/06/2025 09:01,1-15 dias,ATENDEU O SLA,FECHADO,NAO SE APLICA,NAO SE APLICA,NÃO,INFRA,16,09,PORTO VELHO,2025/06,2025/06,167379,,,,,167379,Baixa,2 - SEG,2025-06-02T03:00:00.000Z,2025-06-02T03:00:00.000Z,3 - TER,Horas Úteis,80.000000,1.000000,pedrocarvalho,8,Encerrado pelo sistema,Formulario Solicitação - Padrão,,,,,0.020000,1.930000,1.930000,,27.020000,1.930000,Novo acesso - Estagiário,Baixa,
